,score
820,-17.5
821,5.0
822,-14.999999999999998
823,-20.0
824,-5.0
825,-15.0
826,-3.0
827,-20.0
828,-2.5
829,-10.0
830,-10.0
831,0.0
832,-10.0
833,-8.333333333333334
834,10.0
835,-17.0
836,-2.5
837,-5.0
838,-10.0
839,10.0
840,0.0
841,-1.6666666666666667
842,-11.666666666666666
843,0.0
844,-11.0
845,-17.5
846,-5.0
847,-5.0
848,10.0
849,10.0
850,-15.0
851,-5.0
852,-18.333333333333332
853,-14.999999999999998
854,0.0
855,-11.0
856,-7.5
857,-5.0
858,-5.0
859,-5.0
860,-12.5
861,-12.5
862,-15.0
863,-13.0
864,-13.0
865,-20.0
866,0.0
867,-10.0
868,2.5
869,0.0
870,-1.6666666666666667
871,-8.333333333333334
872,10.0
873,-20.0
874,-5.0
875,-15.0
876,-13.0
877,-9.0
878,-3.0
879,10.0
880,-2.5
881,-15.0
882,1.6666666666666667
883,-5.0
884,-5.0
885,-15.0
886,10.0
887,-7.0
888,-5.0
889,-11.666666666666666
890,-11.0
891,-7.0
892,-12.5
893,-15.0
894,-10.0
895,-10.0
896,-15.0
897,-9.0
898,-5.0
899,-15.0
900,-17.0
901,-9.0
902,-5.0
903,0.0
904,-5.0
905,-12.5
906,-5.0
907,-11.0
908,-5.0
909,10.0
910,0.0
911,-5.0
912,-1.6666666666666667
913,-17.5
914,-15.0
915,-15.0
916,-5.0
917,-14.999999999999998
918,-10.0
919,-11.666666666666666
920,-5.0
921,10.0
922,-11.666666666666666
923,-12.5
924,-7.5
925,-9.0
926,-5.0
927,-11.0
928,-5.0
929,-10.0
930,-9.0
931,-5.0
932,5.0
933,-11.666666666666666
934,-13.0
935,10.0
936,-15.0
937,-5.0
938,-5.0
939,-18.333333333333332
940,-5.0
941,-5.0
942,-12.5
943,-12.5
944,-1.6666666666666667
945,-5.0
946,-11.666666666666666
947,-5.0
948,-15.0
949,-5.0
950,-5.0
951,-17.0
952,-15.0
953,-5.0
954,-1.6666666666666667
955,-15.0
956,-10.0
957,-5.0
958,-10.0
959,-5.0
960,1.6666666666666667
961,-5.0
962,10.0
963,-8.333333333333334
964,-2.5
965,-20.0
966,0.0
967,-8.333333333333334
968,-5.0
969,-12.5
970,-5.0
971,-1.6666666666666667
972,-5.0
973,-5.0
974,10.0
975,-5.0
976,10.0
977,-7.5
978,-7.5
979,-9.0
980,-2.5
981,-11.666666666666666
982,-11.0
983,-15.0
984,0.0
985,10.0
986,-10.0
987,10.0
988,-1.6666666666666667
989,-5.0
990,10.0
991,-8.333333333333334
992,-5.0
993,-11.666666666666666
994,-5.0
995,-7.5
996,-15.0
997,-14.999999999999998
998,-15.0
999,-1.6666666666666667
1000,-14.999999999999998
1001,-9.0
1002,-1.6666666666666667
1003,-5.0
1004,-1.6666666666666667
1005,3.333333333333333
1006,-5.0
1007,-20.0
1008,-12.5
1009,-15.0
1010,-9.0
1011,-11.0
1012,-3.0
1013,1.6666666666666667
1014,7.5
1015,-5.0
1016,-8.333333333333334
1017,-20.0
1018,-5.0
1019,-5.0
1020,-12.5
1021,10.0
1022,-5.0
1023,-5.0
1024,10.0
1025,3.333333333333333
1026,0.0
1027,5.0
1028,-5.0
1029,-5.0
1030,-15.0
1031,0.0
1032,-11.0
1033,0.0
1034,-5.0
1035,1.0
1036,-13.0
1037,5.0
1038,-7.5
1039,10.0
1040,-5.0
1041,-5.0
1042,10.0
1043,-5.0
1044,-5.0
1045,-5.0
1046,-15.0
1047,-10.0
1048,-8.333333333333334
1049,-10.0
1050,-7.5
1051,-5.0
1052,10.0
1053,6.666666666666667
1054,-8.333333333333334
1055,-5.0
1056,-3.0
1057,-5.0
1058,10.0
1059,-5.0
1060,-14.999999999999998
1061,-11.0
1062,-2.5
1063,10.0
1064,-3.0
1065,-5.0
1066,-10.0
1067,-5.0
1068,-1.6666666666666667
1069,-5.0
1070,6.666666666666667
1071,-12.5
1072,0.0
1073,-10.0
1074,-7.0
1075,-10.0
1076,3.333333333333333
1077,-7.0
1078,-5.0
1079,-7.5
1080,-7.5
1081,-5.0
1082,-17.5
1083,10.0
1084,-11.666666666666666
1085,-5.0
1086,5.0
1087,-9.0
1088,10.0
1089,-2.5
1090,-5.0
1091,0.0
1092,10.0
1093,-3.333333333333334
1094,-10.0
1095,-10.0
1096,-9.0
1097,-5.0
1098,-15.0
1099,10.0
1100,-5.0
1101,-1.0
1102,-7.0
1103,-9.0
1104,-9.0
1105,-7.0
1106,-11.666666666666666
1107,-5.0
1108,-1.6666666666666667
1109,-7.5
1110,-5.0
1111,-15.0
1112,-1.6666666666666667
1113,-9.0
1114,-9.0
1115,10.0
1116,-10.0
1117,-5.0
1118,-5.0
1119,-4.440892098500626e-16
1120,-5.0
1121,-8.333333333333334
1122,-2.5
1123,-7.5
1124,-7.0
1125,10.0
1126,-11.0
1127,-1.6666666666666667
1128,-14.999999999999998
1129,-11.0
1130,-5.0
1131,-5.0
1132,10.0
1133,-11.666666666666666
1134,-10.0
1135,-7.5
1136,-8.333333333333334
1137,10.0
1138,0.0
1139,-5.0
1140,5.0
1141,10.0
1142,-5.0
1143,-5.0
1144,-15.0
1145,-5.0
1146,-5.0
1147,-5.0
1148,-5.0
1149,-5.0
1150,-5.0
1151,-5.0
1152,0.0
1153,5.0
1154,-5.0
1155,-5.0
1156,5.0
1157,1.0
1158,-7.5
1159,-8.333333333333334
1160,10.0
1161,0.0
1162,10.0
1163,0.0
1164,-7.0
1165,10.0
1166,0.0
1167,-1.6666666666666667
1168,-5.0
1169,0.0
1170,-5.0
1171,-5.0
1172,2.5
1173,10.0
1174,-3.333333333333334
1175,-8.333333333333334
1176,-7.5
1177,-12.5
1178,10.0
1179,-11.0
1180,-5.0
1181,10.0
1182,-10.0
1183,-7.0
1184,-10.0
1185,0.0
1186,10.0
1187,-1.6666666666666667
1188,0.0
1189,-5.0
1190,-5.0
1191,-5.0
1192,0.0
1193,-2.5
1194,-5.0
1195,10.0
1196,-15.0
1197,10.0
1198,10.0
1199,10.0
1200,0.0
1201,3.333333333333333
1202,-5.0
1203,10.0
1204,-11.0
1205,-5.0
1206,-10.0
1207,-9.0
1208,-7.0
1209,-5.0
1210,-10.0
1211,0.0
1212,-8.333333333333334
1213,-13.0
1214,-15.0
1215,10.0
1216,1.6666666666666667
1217,-9.0
1218,-7.0
1219,-2.5
1220,-5.0
1221,-5.0
1222,-5.0
1223,10.0
1224,-5.0
1225,1.0
1226,-11.0
1227,-5.0
1228,-7.0
1229,10.0
1230,10.0
1231,-10.0
1232,5.0
1233,-5.0
1234,-7.0
1235,-17.0
1236,-7.0
1237,0.0
1238,10.0
1239,0.0
1240,-1.0
1241,-5.0
1242,-5.0
1243,5.0
1244,0.0
1245,10.0
1246,-5.0
1247,-5.0
1248,0.0
1249,-7.0
1250,2.5
1251,1.6666666666666667
1252,10.0
1253,-9.0
1254,-5.0
1255,-10.0
1256,10.0
1257,-8.333333333333334
1258,-3.0
1259,-7.5
1260,-5.0
1261,-10.0
1262,-11.0
1263,0.0
1264,-1.0
1265,-2.5
1266,0.0
1267,-13.0
1268,-11.0
1269,-5.0
1270,10.0
1271,-5.0
1272,-10.0
1273,-12.5
1274,-12.5
1275,-11.0
1276,10.0
1277,10.0
1278,-1.6666666666666667
1279,5.0
1280,-7.0
1281,3.333333333333333
1282,-5.0
1283,1.6666666666666667
1284,-10.0
1285,-5.0
1286,-7.0
1287,0.0
1288,0.0
1289,-1.6666666666666667
1290,-7.0
1291,0.0
1292,-5.0
1293,-5.0
1294,10.0
1295,-5.0
1296,-8.333333333333334
1297,-13.0
1298,-5.0
1299,-9.0
1300,-9.0
1301,-5.0
1302,0.0
1303,-5.0
1304,10.0
1305,5.0
1306,-3.0
1307,1.6666666666666667
1308,-10.0
1309,-4.440892098500626e-16
1310,-1.6666666666666667
1311,0.0
1312,0.0
1313,0.0
1314,10.0
1315,10.0
1316,-5.0
1317,-15.0
1318,3.333333333333333
1319,-15.0
1320,10.0
1321,-10.0
1322,-10.0
1323,10.0
1324,-10.0
1325,-5.0
1326,10.0
1327,-3.0
1328,-5.0
1329,-5.0
1330,-7.5
1331,1.6666666666666667
1332,-12.5
1333,-5.0
1334,10.0
1335,0.0
1336,-9.0
1337,0.0
1338,-3.0
1339,-1.6666666666666667
1340,-1.6666666666666667
1341,-7.0
1342,1.6666666666666667
1343,-14.999999999999998
1344,10.0
1345,-12.5
1346,-5.0
1347,-5.0
1348,-5.0
1349,-5.0
1350,10.0
1351,-7.5
1352,10.0
1353,-15.0
1354,10.0
1355,-1.0
1356,5.0
1357,-2.5
1358,-10.0
1359,0.0
1360,-5.0
1361,-5.0
1362,-9.0
1363,10.0
1364,-5.0
1365,6.666666666666667
1366,-10.0
1367,10.0
1368,-7.5
1369,10.0
1370,0.0
1371,5.0
1372,-7.0
1373,-5.0
1374,-7.0
1375,-8.333333333333334
1376,-10.0
1377,-9.0
1378,-5.0
1379,-7.5
1380,-2.5
1381,-3.333333333333334
1382,10.0
1383,10.0
1384,10.0
1385,7.5
1386,5.0
1387,-5.0
1388,-11.0
1389,-5.0
1390,-5.0
1391,10.0
1392,-2.0
1393,10.0
1394,-3.0
1395,10.0
1396,-2.5
1397,-13.0
1398,-14.999999999999998
1399,10.0
1400,-2.5
1401,-11.0
1402,1.6666666666666667
1403,0.0
1404,-8.333333333333334
1405,-7.5
1406,-15.0
1407,10.0
1408,-5.0
1409,-7.0
1410,-2.5
1411,-11.0
1412,-5.0
1413,-9.0
1414,10.0
1415,3.333333333333333
1416,-5.0
1417,6.666666666666667
1418,2.5
1419,-1.6666666666666667
1420,5.0
1421,0.0
1422,-5.0
1423,10.0
1424,5.0
1425,0.0
1426,10.0
1427,-5.0
1428,-5.0
1429,10.0
1430,-7.5
1431,-9.0
1432,10.0
1433,-2.5
1434,5.0
1435,0.0
1436,-5.0
1437,-5.0
1438,10.0
1439,0.0
1440,5.0
1441,-7.5
1442,-11.0
1443,0.0
1444,-9.0
1445,10.0
1446,-5.0
1447,-1.6666666666666667
1448,-5.0
1449,-5.0
1450,-5.0
1451,-5.0
1452,-5.0
1453,10.0
1454,-10.0
1455,-10.0
1456,-5.0
1457,-5.0
1458,-11.666666666666666
1459,-8.333333333333334
1460,-5.0
1461,-15.0
1462,-7.0
1463,-12.5
1464,10.0
1465,-10.0
1466,-15.0
1467,-13.0
1468,-10.0
1469,10.0
1470,0.0
1471,-5.0
1472,-7.5
1473,0.0
1474,5.0
1475,3.333333333333333
1476,-8.333333333333334
1477,-1.0
1478,5.0
1479,-8.333333333333334
1480,-5.0
1481,-10.0
1482,-5.0
1483,10.0
1484,-10.0
1485,10.0
1486,0.0
1487,-5.0
1488,-5.0
1489,0.0
1490,-7.0
1491,-5.0
1492,10.0
1493,5.0
1494,10.0
1495,-7.5
1496,-5.0
1497,10.0
1498,-5.0
1499,1.6666666666666667
1500,-7.0
1501,-3.0
1502,5.0
1503,-9.0
1504,0.0
1505,-8.333333333333334
1506,10.0
1507,-8.333333333333334
1508,0.0
1509,-1.0
1510,-12.5
1511,-5.0
1512,-5.0
1513,-10.0
1514,-9.0
1515,-14.999999999999998
1516,-2.5
1517,2.5
1518,-7.0
1519,-2.5
1520,0.0
1521,-5.0
1522,0.0
1523,10.0
1524,2.0
1525,0.0
1526,5.0
1527,-2.5
1528,-5.0
1529,0.0
1530,-8.333333333333334
1531,-10.0
1532,1.6666666666666667
1533,10.0
1534,0.0
1535,10.0
1536,-5.0
1537,-13.0
1538,-5.0
1539,-8.333333333333334
1540,-5.0
1541,-5.0
1542,10.0
1543,-7.5
1544,0.0
1545,10.0
1546,10.0
1547,-5.0
1548,-5.0
1549,-5.0
1550,-5.0
1551,-5.0
1552,-5.0
1553,3.333333333333333
1554,-11.0
1555,-1.6666666666666667
1556,10.0
1557,10.0
1558,-1.6666666666666667
1559,-1.6666666666666667
1560,3.333333333333333
1561,-5.0
1562,-11.666666666666666
1563,10.0
1564,-11.666666666666666
1565,-5.0
1566,10.0
1567,5.0
1568,6.0
1569,0.0
1570,-5.0
1571,2.5
1572,0.0
1573,0.0
1574,-9.0
1575,10.0
1576,0.0
1577,10.0
1578,-13.0
1579,-3.0
1580,-1.6666666666666667
1581,-1.6666666666666667
1582,6.666666666666667
1583,-13.0
1584,-1.6666666666666667
1585,-1.6666666666666667
1586,-5.0
1587,-5.0
1588,-2.5
1589,-5.0
1590,2.5
1591,-5.0
1592,-5.0
1593,10.0
1594,-5.0
1595,10.0
1596,-12.5
1597,-5.0
1598,-5.0
1599,6.666666666666667
1600,10.0
1601,-17.0
1602,-9.0
1603,-10.0
1604,-5.0
1605,0.0
1606,5.0
1607,-2.5
1608,-7.0
1609,-1.0
1610,-5.0
1611,10.0
1612,1.6666666666666667
1613,-5.0
1614,0.0
1615,-9.0
1616,-5.0
1617,5.0
1618,-2.5
1619,-1.0
1620,-5.0
1621,-5.0
1622,6.666666666666667
1623,6.0
1624,1.6666666666666667
1625,-5.0
1626,-2.5
1627,-1.0
1628,-3.0
1629,-1.0
1630,-2.5
1631,6.666666666666667
1632,10.0
1633,10.0
1634,3.0
1635,10.0
1636,5.0
1637,1.6666666666666667
1638,-10.0
1639,6.666666666666667
1640,-5.0
1641,-1.6666666666666667
1642,-1.6666666666666667
1643,5.0
1644,10.0
1645,-5.0
1646,10.0
